,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
59,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
83,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
85,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
88,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
98,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel
106,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
108,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
119,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
130,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
239,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
244,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
250,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
