,name,company,year,Price,kms_driven,fuel_type
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
17,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
24,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
25,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel
26,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
28,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
30,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
31,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
32,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
36,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel
40,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
41,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
46,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
49,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
51,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
52,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
53,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
55,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol
57,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
66,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
91,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
94,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
100,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
103,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
105,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
110,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
113,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
114,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
115,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
116,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
117,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
121,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
123,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
124,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
126,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
131,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
241,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
248,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
252,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
253,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
